ts,temp,rh,pop,precip_mm,temp_f,weather_condition,weather_emoji,snow_in
2025-12-26 22:00:00,8.710036481561556,69.20444504226559,0.1,0.4670103092783505,47.6780656668108,Sunny,☀️,0.0
2025-12-26 23:00:00,8.153091626098245,69.80384757729337,0.1,0.4670103092783505,46.67556492697684,Sunny,☀️,0.0
2025-12-27 00:00:00,4.539518395093587,72.75735931288072,0.3,0.2164948453608247,40.17113311116846,Sunny,☀️,0.0
2025-12-27 01:00:00,3.824999999999999,74.0,0.3,0.2164948453608247,38.885,Sunny,☀️,0.0
2025-12-27 02:00:00,2.992925705603695,75.44708572938488,0.3,0.2164948453608247,37.38726627008665,Sunny,☀️,0.0
2025-12-27 03:00:00,2.099999999999999,77.0,0.3,0.1804123711340206,35.78,Sunny,☀️,0.0
2025-12-27 04:00:00,1.207074294396302,78.55291427061513,0.3,0.1804123711340206,34.17273372991335,Sunny,☀️,0.0
2025-12-27 05:00:00,0.3749999999999984,80.0,0.3,0.1443298969072164,32.675,Sunny,☀️,0.0
2025-12-27 06:00:00,-0.3395183950935894,81.24264068711929,0.3,0.1082474226804123,31.38886688883154,Sunny,☀️,0.0
2025-12-27 07:00:00,-0.8877876430563139,82.19615242270663,0.3,0.0721649484536082,30.40198224249864,Sunny,☀️,0.0
2025-12-27 08:00:00,-1.2324441006972862,82.79555495773441,0.3,0.0721649484536082,29.78160061874489,Sunny,☀️,0.0
2025-12-27 09:00:00,-1.3500000000000003,83.0,0.3,0.0721649484536082,29.57,Sunny,☀️,0.0
2025-12-27 10:00:00,-1.2324441006972855,82.79555495773441,0.3,0.0721649484536082,29.78160061874489,Sunny,☀️,0.0
2025-12-27 11:00:00,-0.8877876430563139,82.19615242270663,0.3,0.1082474226804123,30.40198224249864,Sunny,☀️,0.0
2025-12-27 12:00:00,-0.3395183950935894,81.24264068711929,0.3,0.1443298969072164,31.38886688883154,Sunny,☀️,0.0
2025-12-27 13:00:00,0.3749999999999998,80.0,0.3,0.1804123711340206,32.675,Sunny,☀️,0.0
2025-12-27 14:00:00,1.207074294396303,78.55291427061512,0.3,0.2164948453608247,34.17273372991335,Sunny,☀️,0.0
2025-12-27 15:00:00,2.1,77.0,0.3,0.2164948453608247,35.78,Sunny,☀️,0.0
2025-12-27 16:00:00,2.992925705603696,75.44708572938488,0.3,0.2164948453608247,37.387266270086656,Sunny,☀️,0.0
2025-12-27 17:00:00,3.8249999999999993,74.0,0.3,0.1804123711340206,38.885,Sunny,☀️,0.0
2025-12-27 18:00:00,4.539518395093589,72.75735931288071,0.3,0.1443298969072164,40.17113311116846,Sunny,☀️,0.0
2025-12-27 19:00:00,5.087787643056313,71.80384757729337,0.3,0.1082474226804123,41.15801775750136,Sunny,☀️,0.0
2025-12-27 20:00:00,5.432444100697285,71.20444504226559,0.3,0.1082474226804123,41.77839938125511,Sunny,☀️,0.0
2025-12-27 21:00:00,5.55,71.0,0.3,0.1082474226804123,41.99,Sunny,☀️,0.0
2025-12-27 22:00:00,5.432444100697285,71.20444504226559,0.3,0.1082474226804123,41.77839938125511,Sunny,☀️,0.0
2025-12-27 23:00:00,5.087787643056313,71.80384757729337,0.3,0.1082474226804123,41.15801775750136,Sunny,☀️,0.0
2025-12-28 00:00:00,7.5798989873223315,70.25735931288072,0.4,0.3494845360824742,45.643818177180194,Sunny,☀️,0.0
2025-12-28 01:00:00,6.999999999999998,71.5,0.4,0.3494845360824742,44.6,Sunny,☀️,0.0
2025-12-28 02:00:00,6.324693326287057,72.94708572938488,0.4,0.3494845360824742,43.38444798731671,Sunny,☀️,0.0
2025-12-28 03:00:00,5.6,74.5,0.4,0.2912371134020619,42.08,Sunny,☀️,0.0
2025-12-28 04:00:00,4.875306673712941,76.05291427061513,0.4,0.2912371134020619,40.77555201268329,Sunny,☀️,0.0
2025-12-28 05:00:00,4.199999999999999,77.5,0.4,0.2329896907216495,39.56,Sunny,☀️,0.0
2025-12-28 06:00:00,3.620101012677667,78.74264068711929,0.4,0.1747422680412371,38.5161818228198,Sunny,☀️,0.0
2025-12-28 07:00:00,3.175128869403572,79.69615242270663,0.4,0.1164948453608247,37.71523196492643,Sunny,☀️,0.0
2025-12-28 08:00:00,2.895407686390609,80.29555495773441,0.4,0.1164948453608247,37.2117338355031,Sunny,☀️,0.0
2025-12-28 09:00:00,2.8000000000000003,80.5,0.4,0.1164948453608247,37.04,Sunny,☀️,0.0
2025-12-28 10:00:00,2.8954076863906093,80.29555495773441,0.4,0.1164948453608247,37.2117338355031,Sunny,☀️,0.0
